,Name of NGOs,Address,City,Pin Code,State,Mobile No(s).,Email,Website,Name of Contact Person,Purpose,About
0,"AADHAR, Ahmedabad"," C 281, Bhavna Tenaments",Ahemdabad, 380007,Gujarat, 91-98797 73066 , mail_aadhar@yahoo.co.in, http://www.aadhar-india.org, Avni, Arts and crafts revival.," Aadhar is in itself a vision, that of a platform, a platform that is not flat but inclined. Inclined towards reviving, supporting and enhancing traditional and rare crafts that have been, for some reason, ignored or obscure so far. Aadhar aims at reviving the arts and crafts at grass-root levels, the idea is to be supportive in reviving and sustaining the crafts, art and the flagging skills within for generations to come rather than being a commercial entity that vends the merchandise. The objective of AADHAR is to perform, without any allegiance to any particular cast, creed, religion, sect or sub sect and promote various activities in the field of art, crafts and culture for the good of the general public with specific benefit towards enhancing inherent enterprise amongst the craftsmen and their families. Income generating programs. Educate people on health & hygiene. Promote non-formal medium of education. Provide consultation services."
1,"Aaryaa Biotech Centre, Ahmedabad"," Opp. Gujarat Stasdium Motera Road, Sabarmati",Ahemdabad, 380005,Gujarat, 91-98244 14055  91-79-27502299, aaryaabiotechcentre@gmail.com, http://www.aaryaagreenplanet.com, Pradeep Rai,Purpose: Development work, Advanced approaches in applied agricuture. Income generation activites for tribal and rural population water management through water shed and lift irrigation projects. Water land development
2,"Aasmaan Foundation, Ahmedabad","Add : 19, Dashaporvad Society, Besides Navchetan School, Paldi",Ahmedabad,Gujrat,380007,"Mobile : 92286 02313, 90330 11541, 97275 89508 Tel :",Email : contactus@aasmaanfoundation.org,Website : www.aasmaanfoundation.org,"Contact Person : Darshil Parikh, Viral Shah, Nirmam Shah"," Awareness Generation, Child Labour, Child Rights, Child Welfare, Social Awareness.",Aim/Objective/Mission : To create a society where children can prosper to their complete potential and enjoy equality in its true essence.
3,"Aavishkaar India Micro Venture Capital Fund, Ahmedabad"," 3rd Floor Khemha House, Drive in Road, Opp Drive in Cinema",Ahmedabad, 380054,Gujarat,"  91-79-7457611, 91-79-7450378", a.mitra1@lse.ac.uk, http://www.aavishkaar.org, Angha Mitra,"Purpose: Economics and Finance, Micro-enterprises"," To provide timely financing, management support and professional expertise to socially conscious, environmentally friendly, commercially viable rural innovations and appropriate technologies with limited or no access to established institutions. To establish social for-profit venture capital as a new asset class in India."
4,"Abhisek Education and Charitable Trust, Ahmedabad","Add : Block-17/3, Thakkarbapanagar",Ahmedabad,Gujarat,382350,Mobile : 83474 33996 Tel : 079-22803118,Email : abhisekeducation_charitabletrust@yahoo.in,Website :,Contact Person : Alka Shukla," Art And Craft, Blindness, Ngo Management, Old Aged Welfare, Physically Disabled, Rural Development, Shelter Home, Right To Information, Urban Development, Women Development/Welfare, Women’S Issues.","Aim/Objective/Mission : This trust in gujarat state and in country of india living human being for welfare of them will do activities. This trust without prejudice of caste, higher lower category, poor, rich, religion or any of difference being established for benefit of all persons."
5,"Ability on Wheels Charitable Trust, Ahmedabad","Add : B-334, Sobo Center, Bopal",Ahmedabad,Gujarat,380058,Mobile : 70460 33888 Tel :,Email : info@abilityonwheels.org,Website : www.abilityonwheels.org,Contact Person : Harish Kumar," Disability, Plantation",Aim/Objective/Mission : Ability on wheels is an effort to encourage the specially abled people to take a big leap towards leading a normal life by providing mobility & accessibility services & solutions.
6,"Aga Khan Health Service India, Ahmedabad"," 902, Karma Complex, Opp Maha Lakshmi Municipal Market",Ahmedabad, 380007,Gujarat,"  91-79-6640850, 91-79-664083",,, Aravind Pulikkal,"Purpose: Development(General), Disadvantaged communities"," The Aga Khan Health Services, a major functionary of the Aga Khan Development Network, is one of the most comprehensive, non-profit health care system in the developing world. It includes general and special hospitals, the Aga Khan University Hospital, maternity homes and health care centre in Kenya, Tanzania, India and Pakistan. These health facilities are also linked internationally through network-wide strategies in human resource development, health management, nursing development and primary health care."
7,"Aga Khan Rural Support Programme, Ahmedabad"," 2nd floor, Choice Building, Swastik Char Rasta",Ahmedabad, 380051,Gujarat,"  91-79-6427729, 91-79-6420864", akrspi@icenet.net,, Apoorva Ozva,"Purpose: Development(General), Disadvantaged communities, Poverty, Women’s issues"," AKRSP(I) works to enable the empowerment of rural communities and groups, particularly the underprivileged and women to take control of their lives and manage their environment to create a better and more equitable society."
8,"Ahmedabad Shaher Samaj Shikshan Samitee, Ahmedabad"," Majoor Kalyan Kendra Building, Opp Mahipatram Ashram, Raipur",Ahmedabad, 380022,Gujarat,  91-79-2144809,,, Inderjit Jain,"Purpose: Child welfare, Education", Our mission is to see that all the children receives primary education.
9,"Ahmedabad Study Action Group, Ahmedabad"," Kashmira Chambers,, B/H Popular House, Navrangpura",Ahmedabad, 380009,Gujarat,  91-79-26589093, asag@ad1.vsnl.net.in,, Kirtee Shah,"Purpose: Activist, Educational"," The Ahmedabad Study Action Group is a voluntary and non-profit organization set up in 1971 and run by young professionals working on settlement planning, housing, rural development, renewable energy sources, project consultancy and policy research. To promote housing activity in the development context. To reduce the cost of housing for the urban and rural poor. To enhance institutional capacity for meeting the housing and development requirements of the urban and rural poor so that investments and policies are effectively channeled to those in need."
