,Unnamed: 0,Name of NGOs,Address,City,Pin Code,State,Mobile No(s).,Email,Website,Name of Contact Person,Purpose,About
0,0,"AADHAR, Ahmedabad"," C 281, Bhavna Tenaments",Ahemdabad, 380007,Gujarat, 91-98797 73066 , mail_aadhar@yahoo.co.in, http://www.aadhar-india.org, Avni, Arts and crafts revival.," Aadhar is in itself a vision, that of a platform, a platform that is not flat but inclined. Inclined towards reviving, supporting and enhancing traditional and rare crafts that have been, for some reason, ignored or obscure so far. Aadhar aims at reviving the arts and crafts at grass-root levels, the idea is to be supportive in reviving and sustaining the crafts, art and the flagging skills within for generations to come rather than being a commercial entity that vends the merchandise. The objective of AADHAR is to perform, without any allegiance to any particular cast, creed, religion, sect or sub sect and promote various activities in the field of art, crafts and culture for the good of the general public with specific benefit towards enhancing inherent enterprise amongst the craftsmen and their families. Income generating programs. Educate people on health & hygiene. Promote non-formal medium of education. Provide consultation services."
1,1,"Aaryaa Biotech Centre, Ahmedabad"," Opp. Gujarat Stasdium Motera Road, Sabarmati",Ahemdabad, 380005,Gujarat, 91-98244 14055  91-79-27502299, aaryaabiotechcentre@gmail.com, http://www.aaryaagreenplanet.com, Pradeep Rai,Purpose: Development work, Advanced approaches in applied agricuture. Income generation activites for tribal and rural population water management through water shed and lift irrigation projects. Water land development
2,2,"Aasmaan Foundation, Ahmedabad","Add : 19, Dashaporvad Society, Besides Navchetan School, Paldi",Ahmedabad,Gujrat,380007,"Mobile : 92286 02313, 90330 11541, 97275 89508 Tel :",Email : contactus@aasmaanfoundation.org,Website : www.aasmaanfoundation.org,"Contact Person : Darshil Parikh, Viral Shah, Nirmam Shah"," Awareness Generation, Child Labour, Child Rights, Child Welfare, Social Awareness.",Aim/Objective/Mission : To create a society where children can prosper to their complete potential and enjoy equality in its true essence.
3,3,"Aavishkaar India Micro Venture Capital Fund, Ahmedabad"," 3rd Floor Khemha House, Drive in Road, Opp Drive in Cinema",Ahmedabad, 380054,Gujarat,"  91-79-7457611, 91-79-7450378", a.mitra1@lse.ac.uk, http://www.aavishkaar.org, Angha Mitra,"Purpose: Economics and Finance, Micro-enterprises"," To provide timely financing, management support and professional expertise to socially conscious, environmentally friendly, commercially viable rural innovations and appropriate technologies with limited or no access to established institutions. To establish social for-profit venture capital as a new asset class in India."
4,4,"Abhisek Education and Charitable Trust, Ahmedabad","Add : Block-17/3, Thakkarbapanagar",Ahmedabad,Gujarat,382350,Mobile : 83474 33996 Tel : 079-22803118,Email : abhisekeducation_charitabletrust@yahoo.in,Website :,Contact Person : Alka Shukla," Art And Craft, Blindness, Ngo Management, Old Aged Welfare, Physically Disabled, Rural Development, Shelter Home, Right To Information, Urban Development, Women Development/Welfare, Women’S Issues.","Aim/Objective/Mission : This trust in gujarat state and in country of india living human being for welfare of them will do activities. This trust without prejudice of caste, higher lower category, poor, rich, religion or any of difference being established for benefit of all persons."
5,5,"Ability on Wheels Charitable Trust, Ahmedabad","Add : B-334, Sobo Center, Bopal",Ahmedabad,Gujarat,380058,Mobile : 70460 33888 Tel :,Email : info@abilityonwheels.org,Website : www.abilityonwheels.org,Contact Person : Harish Kumar," Disability, Plantation",Aim/Objective/Mission : Ability on wheels is an effort to encourage the specially abled people to take a big leap towards leading a normal life by providing mobility & accessibility services & solutions.
6,6,"Aga Khan Health Service India, Ahmedabad"," 902, Karma Complex, Opp Maha Lakshmi Municipal Market",Ahmedabad, 380007,Gujarat,"  91-79-6640850, 91-79-664083",,, Aravind Pulikkal,"Purpose: Development(General), Disadvantaged communities"," The Aga Khan Health Services, a major functionary of the Aga Khan Development Network, is one of the most comprehensive, non-profit health care system in the developing world. It includes general and special hospitals, the Aga Khan University Hospital, maternity homes and health care centre in Kenya, Tanzania, India and Pakistan. These health facilities are also linked internationally through network-wide strategies in human resource development, health management, nursing development and primary health care."
7,7,"Aga Khan Rural Support Programme, Ahmedabad"," 2nd floor, Choice Building, Swastik Char Rasta",Ahmedabad, 380051,Gujarat,"  91-79-6427729, 91-79-6420864", akrspi@icenet.net,, Apoorva Ozva,"Purpose: Development(General), Disadvantaged communities, Poverty, Women’s issues"," AKRSP(I) works to enable the empowerment of rural communities and groups, particularly the underprivileged and women to take control of their lives and manage their environment to create a better and more equitable society."
8,8,"Ahmedabad Shaher Samaj Shikshan Samitee, Ahmedabad"," Majoor Kalyan Kendra Building, Opp Mahipatram Ashram, Raipur",Ahmedabad, 380022,Gujarat,  91-79-2144809,,, Inderjit Jain,"Purpose: Child welfare, Education", Our mission is to see that all the children receives primary education.
9,9,"Ahmedabad Study Action Group, Ahmedabad"," Kashmira Chambers,, B/H Popular House, Navrangpura",Ahmedabad, 380009,Gujarat,  91-79-26589093, asag@ad1.vsnl.net.in,, Kirtee Shah,"Purpose: Activist, Educational"," The Ahmedabad Study Action Group is a voluntary and non-profit organization set up in 1971 and run by young professionals working on settlement planning, housing, rural development, renewable energy sources, project consultancy and policy research. To promote housing activity in the development context. To reduce the cost of housing for the urban and rural poor. To enhance institutional capacity for meeting the housing and development requirements of the urban and rural poor so that investments and policies are effectively channeled to those in need."
10,10,"Ahmedabad Women’s Action Group, Ahmedabad"," 48, Somnath Nagar, Vijyanagar Road",Ahmedabad, 380009,Gujarat,"  91-79-7470036, 91-79-7434122",,, Rashida Cutleriwala,Purpose: Women’s issues," AWAG aims to raise women’s image in society, establish women’s equal status in society, contribute to women’s participation in the development of the country, support the rights of women to live with dignity, support their economic activity, welfare, security, education, etc."
11,11,"Ajeet Rural Development Foundation, Ahmedabad"," E-123, Hardham Society, Krishna Nagar, Behind Parshwanath Township, New Naroda",Ahmedabad, 382346,Gujarat, 91-99243 00805 , idodiya@yahoo.com,, Ishwar Dodiya,Purpose:," Main aim of our NGO is working for needy people, women & children, watershed programme. Aim is that we can directly connect with needy people and help them as per their requirement, inner talent and activity working for women self employment activities."
12,12,"Akhil Gujarat Sewa Sangh, Ahmedabad"," 9, Suryadev Nagar, Society Camp Road",Ahmedabad, 380004,Gujarat,  91-792-2863545, dj_sunny4u@yahoo.com,, Chimanbhai Leuva,Purpose: To help common people., Our aim is to help poor public of Gujarat ! We provide job to poor human being!
13,13,"All India Disaster Mitigation Institute, Ahmedabad"," 411-412 Sakar Five, Ashram Road, Behind Natraj Cinema",Ahmedabad, 380009,Gujarat,"  91-79-26586234, 91-79-26583607", dmi@icenet.co.in, http://www.southasiadisasters.net, Mihir R. Bhatt,Purpose: To build up human security for the most vulnerable victims of disaster., To turn disaster relief and recovery into an opportunity for poverty alleviation and risk reduction for local communities in South Asia through action and learning.
14,14,"All India Social Educational Charitable Trust, Ahmedabad"," A-2, Gokul Apartment, Nr. Mira Cinema Char Rasta",Ahmedabad, 380008,Gujarat,  91-79-30420790, aisect17166@gmail.com,, Bharat Ramnath Pawar,"Purpose: Social education for poor, uneducated, unknown of Indian human law, unjustified people help etc."," A fight against crime and corruption from govt. And non govt, organization."
15,15,"AMC Aids Control Society, Ahmedabad"," B/H Lal Bungalow, Navrangpura Telephone Exchange",Ahmedabad, 380053,Gujarat,"  91-79-6468653, 91-79-6409857", acs_amc@icenet.net, http://www.aidshelplineamcacs.org, Dr Laxman Malodia,Purpose: Health," AMC ACS has been working with 9 NGO partners of Ahmedabad for targeted intervention project. AMC ACS goal is to reduce the spread of HIV infection in Ahmedabad in order to reduce the impact of HIV/AIDS on morbidity, morality, social and economical development in Ahmedabad and to strengthen city?s own capacity for responding to the long term challenges presented by HIV/AIDS."
16,16,"Andh – Apang Kalyan Kendra, Ahmedabad"," Jantanagar Road, Ghatlodia",Ahmedabad, 380061,Gujarat,  91-79-27412681,,, Harjivanbhai Patel,"Purpose: Child welfare, Education, Employment, Food and Nutrition, Training", This Kendra is a basic organisation dealing with the need of the physically handicapped and blind children. It also works for their upliftment.
17,17,"Andh Kalyan Kendra, Ahmedabad"," B/H, Paramsukh Society, Nr. Vihar Park, Ranip",Ahmedabad, 382480,Gujarat,  91-79-7520434, gian@satyam.net.in,, Suryaben Shah,Purpose: Disability, The organisation basically works for the welfare of the blind people. It tries to identify their problems and provide solutions which are through a mutual co-operation with the other blind school and institutions.
18,18,"Anusandhan, Ahmedabad"," G/P4 Indraprastha, Drive-in-road",Ahmedabad, 380052,Gujarat,"  91-79-27473495, 91-79-27444578", annusandhan@anusandhan.org, http://www.anusandhan.org, Vivek Rawal,"Purpose: Environment, Urban Development", Our main objective is to develop the urban cities and also to reduce the pollution in such places. We are also helping poor to improve their standard of living.
19,19,"Apang Abhuday Mandal, Ahmedabad"," Sarkhej – Gandhinagar Highway, Opp New High Court, Sola",Ahmedabad, 380060,Gujarat,  91-79-27456312,,, Gunvantbhai Shah,"Purpose: Child welfare, Education, Training", Mission and Vision Statement: To give education to handicapped children and also try to give them good job to empower them.
20,20,"Apang Manav Mandal, Ahmedabad"," Opp. Ama Center, B/h Atira, Vastrapur",Ahmedabad, 380015,Gujarat, 91-98242 36684  91-79-26302643, apangmanavmandal@yahoo.com, http://www.apangmanavmandal.org, Kshitish Bhai,"Purpose: Education, health, disability."," Apang Manav Mandal is a NGO founded in the year 1958 and registered under the Bombay Public Trusts Act, 1950 and Societies Registration Act, 1960. The aims and objects of the Mandal are to look-after education, vocational training, rehabilitation, resettlement advancement, amelioration, better health and welfare of the handicapped persons. The mission of the trust is to promote total development of the handicapped persons in general."
21,21,"ARY Skill Development, Ahmedabad"," Kesavbaug society, Tata Nagar, Meghaninagar",Ahmedabad, 380016,Gujarat, 91-93505 43669 , info@hamaripathshala.org, http://www.hamaripathshala.org, Yashpal Sihag,"Purpose: Ecucation, microcredit, vocational training, life skill training, workshops for youth development.", Hamaripathshala aims to provide support to every individuals for beterment in the field of self capacity building through training.
22,22,"ARZOO, Ahmedabad"," Jai Masiha Colony, Near Suvidha Flats, Behind AMTS Workshop",Ahmedabad, 380022,Gujarat, 91-93740 41393 , arzookids@gmail.com, http://www.arzoolive.org/, Sulekha Ali,Purpose: Education for children and livelihood generation for women.," Arzoo is an education and activity centre created with the aim to provide a secure knowledge and livelihood base to the underprivileged children and women. The driving factor behind Arzoo is to provide moral, social and material support and a sense of security to the underprivileged children. Arzoo is an initiative to touch every sphere of social relevance and strives to promote harmony through education and extra-curricular activities. Arzoo was conceived in the aftermath of the 2002 Gujarat riots to provide love and guidance to the riot-affected children."
